#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Lupinus albus","Eukaryota;Plants;Land Plants","GWH2020","SAMN12501103","PRJNA592024","GCA_010261695.1"," Chromosome",558.896,36.8202,"chromosome 1:CM020996.1; chromosome 2:CM020997.1; chromosome 3:CM020998.1; chromosome 4:CM020999.1; chromosome 5:CM021000.1; chromosome 6:CM021001.1; chromosome 7:CM021002.1; chromosome 8:CM021003.1; chromosome 9:CM021004.1; chromosome 10:CM021005.1; chromosome 11:CM021006.1; chromosome 12:CM021007.1; chromosome 13:CM021008.1; chromosome 14:CM021009.1; chromosome 15:CM021010.1; chromosome 16:CM021011.1; chromosome 17:CM021012.1; chromosome 18:CM021013.1; chromosome 19:CM021014.1; chromosome 20:CM021015.1; chromosome 21:CM021016.1; chromosome 22:CM021017.1; chromosome 23:CM021018.1; chromosome 24:CM021019.1; chromosome 25:CM021020.1","JAAEJY01",1580,47603,"2020-02-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/261/695/GCA_010261695.1_La_Amiga3.1",
"Ziziphus jujuba","Eukaryota;Plants;Land Plants","","SAMN02918186","PRJNA315994","GCA_000826755.1"," Chromosome",437.754,34.1503,"chromosome 1:NC_029679.1/CM003114.1; chromosome 2:NC_029680.1/CM003115.1; chromosome 3:NC_029681.1/CM003116.1; chromosome 4:NC_029682.1/CM003117.1; chromosome 5:NC_029683.1/CM003118.1; chromosome 6:NC_029684.1/CM003119.1; chromosome 7:NC_029685.1/CM003120.1; chromosome 8:NC_029686.1/CM003121.1; chromosome 9:NC_029687.1/CM003122.1; chromosome 10:NC_029688.1/CM003123.1; chromosome 11:NC_029689.1/CM003124.1; chromosome 12:NC_029690.1/CM003125.1","JREP01",5897,43574,"2014-10-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/755/GCA_000826755.1_ZizJuj_1.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/826/755/GCF_000826755.1_ZizJuj_1.1"
"Carcinoscorpius rotundicauda","Eukaryota;Animals;Other Animals","IMCB_SINMHF_001","SAMN12734231","PRJNA565077","GCA_011833715.1"," Chromosome",1668.68,33.6017,"chromosome 1:CM022391.1; chromosome 2:CM022392.1; chromosome 3:CM022393.1; chromosome 4:CM022394.1; chromosome 5:CM022395.1; chromosome 6:CM022396.1; chromosome 7:CM022397.1; chromosome 8:CM022398.1; chromosome 9:CM022399.1; chromosome 10:CM022400.1; chromosome 11:CM022401.1; chromosome 12:CM022402.1; chromosome 13:CM022403.1; chromosome 14:CM022404.1; chromosome 15:CM022405.1; chromosome 16:CM022406.1","VWRL01",728,0,"2020-03-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/833/715/GCA_011833715.1_IMCB_Crot_1.0",
"Perca flavescens","Eukaryota;Animals;Fishes","YP-PL-M2","SAMN10722690","PRJNA529871","GCA_004354835.1"," Chromosome",877.456,40.8426,"chromosome 1:NC_041331.1/CM014935.1; chromosome 2:NC_041332.1/CM014936.1; chromosome 3:NC_041333.1/CM014937.1; chromosome 4:NC_041334.1/CM014938.1; chromosome 5:NC_041335.1/CM014939.1; chromosome 6:NC_041336.1/CM014940.1; chromosome 7:NC_041337.1/CM014941.1; chromosome 8:NC_041338.1/CM014942.1; chromosome 9:NC_041339.1/CM014943.1; chromosome 10:NC_041340.1/CM014944.1; chromosome 11:NC_041341.1/CM014945.1; chromosome 12:NC_041342.1/CM014946.1; chromosome 13:NC_041343.1/CM014947.1; chromosome 14:NC_041344.1/CM014948.1; chromosome 15:NC_041345.1/CM014949.1; chromosome 16:NC_041346.1/CM014950.1; chromosome 17:NC_041347.1/CM014951.1; chromosome 18:NC_041348.1/CM014952.1; chromosome 19:NC_041349.1/CM014953.1; chromosome 20:NC_041350.1/CM014954.1; chromosome 21:NC_041351.1/CM014955.1; chromosome 22:NC_041352.1/CM014956.1; chromosome 23:NC_041353.1/CM014957.1; chromosome 24:NC_041354.1/CM014958.1; mitochondrion MT:NC_019572.1/","SCKG01",268,42939,"2019-03-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/354/835/GCA_004354835.1_PFLA_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/354/835/GCF_004354835.1_PFLA_1.0"
"Lachancea nothofagi CBS 11611","Eukaryota;Fungi;Ascomycetes","","SAMEA3888432","PRJEB12933","GCA_900074755.1"," Chromosome",11.3138,43.7235,"chromosome A:LT598449.1; chromosome B:LT598450.1; chromosome C:LT598446.1; chromosome D:LT598448.1; chromosome E:LT598451.1; chromosome F:LT598452.1; chromosome G:LT598453.1; chromosome H:LT598447.1","FJUQ01",8,5154,"2016-04-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/074/755/GCA_900074755.1_LANO0",
"Lachancea dasiensis CBS 10888","Eukaryota;Fungi;Ascomycetes","","SAMEA3888427","PRJEB12928","GCA_900074725.1"," Chromosome",10.7016,45.1747,"chromosome A:LT598460.1; chromosome B:LT598456.1; chromosome C:LT598459.1; chromosome D:LT598454.1; chromosome E:LT598455.1; chromosome F:LT598458.1; chromosome G:LT598457.1; chromosome H:LT598461.1","FJUP01",8,5096,"2016-04-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/074/725/GCA_900074725.1_LADA0",
"Lachancea meyersii CBS 8951","Eukaryota;Fungi;Ascomycetes","","SAMEA3888430","PRJEB12931","GCA_900074715.1"," Chromosome",11.2618,45.3262,"chromosome A:LT598483.1; chromosome B:LT598478.1; chromosome C:LT598479.1; chromosome D:LT598482.1; chromosome E:LT598481.1; chromosome F:LT598477.1; chromosome G:LT598484.1; chromosome H:LT598480.1","FJUM01",8,4998,"2016-04-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/074/715/GCA_900074715.1_LAME0",
"Theropithecus gelada","Eukaryota;Animals;Mammals","Dixy","SAMN09197221","PRJNA477372","GCA_003255815.1"," Chromosome",2889.63,41.1126,"chromosome 1:NC_037668.1/CM009950.1; chromosome 2:NC_037669.1/CM009951.1; chromosome 3:NC_037670.1/CM009952.1; chromosome 4:NC_037671.1/CM009953.1; chromosome 5:NC_037672.1/CM009954.1; chromosome 6:NC_037673.1/CM009955.1; chromosome 7a:NC_037674.1/CM009956.1; chromosome 7b:NC_037675.1/CM009957.1; chromosome 8:NC_037676.1/CM009958.1; chromosome 9:NC_037677.1/CM009959.1; chromosome 10:NC_037678.1/CM009960.1; chromosome 11:NC_037679.1/CM009961.1; chromosome 12:NC_037680.1/CM009962.1; chromosome 13:NC_037681.1/CM009963.1; chromosome 14:NC_037682.1/CM009964.1; chromosome 15:NC_037683.1/CM009965.1; chromosome 16:NC_037684.1/CM009966.1; chromosome 17:NC_037685.1/CM009967.1; chromosome 18:NC_037686.1/CM009968.1; chromosome 19:NC_037687.1/CM009969.1; chromosome 20:NC_037688.1/CM009970.1; chromosome X:NC_037689.1/CM009971.1; mitochondrion MT:NC_019802.1/","QGDE01",15308,52434,"2018-06-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/255/815/GCA_003255815.1_Tgel_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/255/815/GCF_003255815.1_Tgel_1.0"
"Epinephelus fuscoguttatus","Eukaryota;Animals;Fishes","","SAMD00201013","PRJDB9224","GCA_011397635.1"," Chromosome",1047,41.3312,"chromosome LG1:AP022675.1; chromosome LG2:AP022676.1; chromosome LG3:AP022677.1; chromosome LG4:AP022678.1; chromosome LG5:AP022679.1; chromosome LG6:AP022680.1; chromosome LG7:AP022681.1; chromosome LG8:AP022682.1; chromosome LG9:AP022683.1; chromosome LG10:AP022684.1; chromosome LG11:AP022685.1; chromosome LG12:AP022686.1; chromosome LG13:AP022687.1; chromosome LG14:AP022688.1; chromosome LG15:AP022689.1; chromosome LG16:AP022690.1; chromosome LG17:AP022691.1; chromosome LG18:AP022692.1; chromosome LG19:AP022693.1; chromosome LG20:AP022694.1; chromosome LG21:AP022695.1; chromosome LG22:AP022696.1; chromosome LG23:AP022697.1; chromosome LG24:AP022698.1",,25,0,"2020-02-20T23:05:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/397/635/GCA_011397635.1_E.fuscoguttatus.final_Chr_v1",
"Saccharomyces sp. 'boulardii'","Eukaryota;Fungi;Ascomycetes","unique28","SAMN03758404","PRJNA285730","GCA_001413975.1"," Chromosome",12.0011,38.349,"chromosome I:CM003557.1; chromosome II:CM003558.1; chromosome III:CM003559.1; chromosome IV:CM003560.1; chromosome VI:CM003561.1; chromosome VII:CM003562.1; chromosome VIII:CM003563.1; chromosome X:CM003564.1; chromosome XI:CM003565.1; chromosome XII:CM003566.1; chromosome XIII:CM003567.1; chromosome XIV:CM003568.1; chromosome XV:CM003569.1; chromosome XVI:CM003570.1; chromosome IXa:CM003553.1; chromosome IXb:CM003554.1; chromosome Va:CM003555.1; chromosome Vb:CM003556.1","LIOO01",27,5493,"2015-10-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/413/975/GCA_001413975.1_ASM141397v1",
"Mangifera indica","Eukaryota;Plants;Land Plants","","SAMN09899728","PRJNA487154","GCA_011075055.1"," Chromosome",392.983,32.74,"chromosome 1:CM021837.1; chromosome 2:CM021838.1; chromosome 3:CM021839.1; chromosome 4:CM021840.1; chromosome 5:CM021841.1; chromosome 6:CM021842.1; chromosome 7:CM021843.1; chromosome 8:CM021844.1; chromosome 9:CM021845.1; chromosome 10:CM021846.1; chromosome 11:CM021847.1; chromosome 12:CM021848.1; chromosome 13:CM021849.1; chromosome 14:CM021850.1; chromosome 15:CM021851.1; chromosome 16:CM021852.1; chromosome 17:CM021853.1; chromosome 18:CM021854.1; chromosome 19:CM021855.1; chromosome 20:CM021856.1; mitochondrion MT:CM021857.1; chloroplast Pltd:CM021858.1","JAAHBS01",252,0,"2020-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/075/055/GCA_011075055.1_CATAS_Mindica_2.1",
"Geotrypetes seraphini","Eukaryota;Animals;Amphibians","","SAMEA104387963","PRJEB33992","GCA_902459505.1"," Chromosome",3779.43,43.251,"chromosome 1:NC_047084.1/LR699146.1; chromosome 2:NC_047085.1/LR699147.1; chromosome 3:NC_047086.1/LR699148.1; chromosome 4:NC_047087.1/LR699149.1; chromosome 5:NC_047088.1/LR699150.1; chromosome 6:NC_047089.1/LR699151.1; chromosome 7:NC_047090.1/LR699152.1; chromosome 8:NC_047091.1/LR699153.1; chromosome 9:NC_047092.1/LR699154.1; chromosome 10:NC_047093.1/LR699155.1; chromosome 11:NC_047094.1/LR699156.1; chromosome 12:NC_047095.1/LR699157.1; chromosome 13:NC_047096.1/LR699158.1; chromosome 14:NC_047097.1/LR699159.1; chromosome 15:NC_047098.1/LR699160.1; chromosome 16:NC_047099.1/LR699161.1; chromosome 17:NC_047100.1/LR699162.1; chromosome 18:NC_047101.1/LR699163.1; chromosome 19:NC_047102.1/LR699164.1; mitochondrion MT:NC_020155.1/","CABPRQ01",164,50018,"2019-08-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/459/505/GCA_902459505.1_aGeoSer1.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/459/505/GCF_902459505.1_aGeoSer1.1"
"Antonospora locustae","Eukaryota;Fungi;Other Fungi","CLX","SAMN06016424","PRJNA353563","GCA_007674295.1"," Chromosome",3.17138,41.9831,"chromosome 1:CM017447.1; chromosome 2:CM017448.1; chromosome 3:CM017449.1; chromosome 4:CM017450.1; chromosome 5:CM017451.1; chromosome 6:CM017452.1; chromosome 7:CM017453.1; chromosome 8:CM017454.1; chromosome 9:CM017455.1; chromosome 10:CM017456.1; chromosome 11:CM017457.1; chromosome 12:CM017458.1; chromosome 13:CM017459.1; chromosome 14:CM017460.1; chromosome 15:CM017461.1; chromosome 16:CM017462.1; chromosome 17:CM017463.1","MPSM01",18,0,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/674/295/GCA_007674295.1_ASM767429v1",
"Avicennia marina subsp. marina","Eukaryota;Plants;Land Plants","RG18007","SAMN14766548","PRJNA629068","GCA_013168755.1"," Chromosome",456.542,36.72,"chromosome 1:CM023156.1; chromosome 2:CM023157.1; chromosome 3:CM023158.1; chromosome 4:CM023159.1; chromosome 5:CM023160.1; chromosome 6:CM023161.1; chromosome 7:CM023162.1; chromosome 8:CM023163.1; chromosome 9:CM023164.1; chromosome 10:CM023165.1; chromosome 11:CM023166.1; chromosome 12:CM023167.1; chromosome 13:CM023168.1; chromosome 14:CM023169.1; chromosome 15:CM023170.1; chromosome 16:CM023171.1; chromosome 17:CM023172.1; chromosome 18:CM023173.1; chromosome 19:CM023174.1; chromosome 20:CM023175.1; chromosome 21:CM023176.1; chromosome 22:CM023177.1; chromosome 23:CM023178.1; chromosome 24:CM023179.1; chromosome 25:CM023180.1; chromosome 26:CM023181.1; chromosome 27:CM023182.1; chromosome 28:CM023183.1; chromosome 29:CM023184.1; chromosome 30:CM023185.1; chromosome 31:CM023186.1; chromosome 32:CM023187.1; mitochondrion MT:CM023205.1","JABGBM01",3792,0,"2020-05-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/168/755/GCA_013168755.1_CGSB_Amar_1.0",
"Actinidia chinensis","Eukaryota;Plants;Land Plants","","SAMN12097858","PRJNA549770","GCA_009663005.1"," Chromosome",653.926,35.6398,"chromosome LG1:CM018888.1; chromosome LG2:CM018889.1; chromosome LG3:CM018890.1; chromosome LG4:CM018891.1; chromosome LG5:CM018892.1; chromosome LG6:CM018893.1; chromosome LG7:CM018894.1; chromosome LG8:CM018895.1; chromosome LG9:CM018896.1; chromosome LG10:CM018897.1; chromosome LG11:CM018898.1; chromosome LG12:CM018899.1; chromosome LG13:CM018900.1; chromosome LG14:CM018901.1; chromosome LG15:CM018902.1; chromosome LG16:CM018903.1; chromosome LG17:CM018904.1; chromosome LG18:CM018905.1; chromosome LG19:CM018906.1; chromosome LG20:CM018907.1; chromosome LG21:CM018908.1; chromosome LG22:CM018909.1; chromosome LG23:CM018910.1; chromosome LG24:CM018911.1; chromosome LG25:CM018912.1; chromosome LG26:CM018913.1; chromosome LG27:CM018914.1; chromosome LG28:CM018915.1; chromosome LG29:CM018916.1","VIGQ01",2366,0,"2019-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/663/005/GCA_009663005.1_ASM966300v1",
"Musa balbisiana","Eukaryota;Plants;Land Plants","DH-PKW","SAMN08469760","PRJNA432894","GCA_004837865.1"," Chromosome",492.775,37.9868,"chromosome 1:CM017188.1; chromosome 2:CM017189.1; chromosome 3:CM017190.1; chromosome 4:CM017191.1; chromosome 5:CM017192.1; chromosome 6:CM017193.1; chromosome 7:CM017194.1; chromosome 8:CM017195.1; chromosome 9:CM017196.1; chromosome 10:CM017197.1; chromosome 11:CM017198.1","PYDT01",2590,33021,"2019-04-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/837/865/GCA_004837865.1_BananaB_V1",
"Miscanthus sacchariflorus","Eukaryota;Plants;Land Plants","","SAMN08580354","PRJNA435476","GCA_002993905.1"," Chromosome",2074.92,46.4829,"chromosome 1:CM009591.1; chromosome 2:CM009592.1; chromosome 3:CM009593.1; chromosome 4:CM009594.1; chromosome 5:CM009595.1; chromosome 6:CM009596.1; chromosome 7:CM009597.1; chromosome 8:CM009598.1; chromosome 9:CM009599.1; chromosome 10:CM009600.1; chromosome 11:CM009601.1; chromosome 12:CM009602.1; chromosome 13:CM009603.1; chromosome 14:CM009604.1; chromosome 15:CM009605.1; chromosome 16:CM009606.1; chromosome 17:CM009607.1; chromosome 18:CM009608.1; chromosome 19:CM009609.1","PUID01",137916,0,"2018-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/993/905/GCA_002993905.1_Msac_v3",
"Andrographis paniculata","Eukaryota;Plants;Land Plants","SW001","SAMN08159216","PRJNA421867","GCA_004354405.1"," Chromosome",269.408,33.3419,"chromosome 1:CM014959.1; chromosome 2:CM014960.1; chromosome 3:CM014961.1; chromosome 4:CM014962.1; chromosome 5:CM014963.1; chromosome 6:CM014964.1; chromosome 7:CM014965.1; chromosome 8:CM014966.1; chromosome 9:CM014967.1; chromosome 10:CM014968.1; chromosome 11:CM014969.1; chromosome 12:CM014970.1; chromosome 13:CM014971.1; chromosome 14:CM014972.1; chromosome 15:CM014973.1; chromosome 16:CM014974.1; chromosome 17:CM014975.1; chromosome 18:CM014976.1; chromosome 19:CM014977.1; chromosome 20:CM014978.1; chromosome 21:CM014979.1; chromosome 22:CM014980.1; chromosome 23:CM014981.1; chromosome 24:CM014982.1","SMLO01",257,0,"2019-03-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/354/405/GCA_004354405.1_ASM435440v1",
"Utricularia gibba","Eukaryota;Plants;Land Plants","Umecuaro","SAMN06684416","PRJNA383049","GCA_002189035.1"," Chromosome",100.689,41.1434,"chromosome 1:CM007989.1; chromosome 2:CM007990.1; chromosome 3:CM007991.1; chromosome 4:CM007992.1","NEEC01",518,0,"2017-05-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/189/035/GCA_002189035.1_U_gibba_v2",
"Triticum urartu","Eukaryota;Plants;Land Plants","","SAMN05513572","PRJNA337888","GCA_003073215.1"," Chromosome",4851.9,45.9397,"chromosome 1:CM009793.1; chromosome 2:CM009794.1; chromosome 3:CM009795.1; chromosome 4:CM009796.1; chromosome 5:CM009797.1; chromosome 6:CM009798.1; chromosome 7:CM009799.1","MKGO01",10284,0,"2018-04-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/215/GCA_003073215.1_Tu2.0",
"Xiphophorus couchianus","Eukaryota;Animals;Fishes","","SAMN03922721","PRJNA516883","GCA_001444195.3"," Chromosome",688.542,39.0399,"chromosome 1:NC_040228.1/CM010726.1; chromosome 2:NC_040229.1/CM010727.1; chromosome 3:NC_040230.1/CM010728.1; chromosome 4:NC_040231.1/CM010729.1; chromosome 5:NC_040232.1/CM010730.1; chromosome 6:NC_040233.1/CM010731.1; chromosome 7:NC_040234.1/CM010732.1; chromosome 8:NC_040235.1/CM010733.1; chromosome 9:NC_040236.1/CM010734.1; chromosome 10:NC_040237.1/CM010735.1; chromosome 11:NC_040238.1/CM010736.1; chromosome 12:NC_040239.1/CM010737.1; chromosome 13:NC_040240.1/CM010738.1; chromosome 14:NC_040241.1/CM010739.1; chromosome 15:NC_040242.1/CM010740.1; chromosome 16:NC_040243.1/CM010741.1; chromosome 17:NC_040244.1/CM010742.1; chromosome 18:NC_040245.1/CM010743.1; chromosome 19:NC_040246.1/CM010744.1; chromosome 20:NC_040247.1/CM010745.1; chromosome 21:NC_040248.1/CM010746.1; chromosome 22:NC_040249.1/CM010747.1; chromosome 23:NC_040250.1/CM010748.1; chromosome 24:NC_040251.1/CM010749.1; mitochondrion MT:NC_028083.1/","LNCC02",68,47076,"2015-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/444/195/GCA_001444195.3_X_couchianus-1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/444/195/GCF_001444195.1_X_couchianus-1.0"
"Flammulina velutipes KACC42780","Eukaryota;Fungi;Basidiomycetes","KACC42780","SAMN01940701","PRJNA191921","GCA_000633125.1"," Chromosome",35.6425,49.7661,"chromosome 1:CM002695.1; chromosome 2:CM002696.1; chromosome 3:CM002697.1; chromosome 4:CM002698.1; chromosome 5:CM002699.1; chromosome 6:CM002700.1; chromosome 7:CM002701.1; chromosome 8:CM002702.1; chromosome 9:CM002703.1; chromosome 10:CM002704.1; chromosome 11:CM002705.1","AQHU01",11,0,"2014-04-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/633/125/GCA_000633125.1_Fv1.0",
"Leishmania enriettii","Eukaryota;Protists;Kinetoplasts","LEM3045","SAMN02214422","PRJNA192711","GCA_000410755.2"," Chromosome",30.7619,59.104,"chromosome 1:CM007250.1; chromosome 2:CM007251.1; chromosome 3:CM007252.1; chromosome 4:CM007253.1; chromosome 5:CM007254.1; chromosome 6:CM007255.1; chromosome 7:CM007256.1; chromosome 8:CM007257.1; chromosome 9:CM007258.1; chromosome 10:CM007259.1; chromosome 11:CM007260.1; chromosome 12:CM007261.1; chromosome 13:CM007262.1; chromosome 14:CM007263.1; chromosome 15:CM007264.1; chromosome 16:CM007265.1; chromosome 17:CM007266.1; chromosome 18:CM007267.1; chromosome 19:CM007268.1; chromosome 20:CM007269.1; chromosome 21:CM007270.1; chromosome 22:CM007271.1; chromosome 23:CM007272.1; chromosome 24:CM007273.1; chromosome 25:CM007274.1; chromosome 26:CM007275.1; chromosome 27:CM007276.1; chromosome 28:CM007277.1; chromosome 29:CM007278.1; chromosome 30:CM007243.1; chromosome 31:CM007244.1; chromosome 32:CM007245.1; chromosome 33:CM007246.1; chromosome 34:CM007247.1; chromosome 35:CM007248.1; chromosome 36:CM007249.1","ATAF02",495,0,"2013-06-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/410/755/GCA_000410755.2_Leishmania_enrietti_LEM3045-1.0.2",
"Haemonchus contortus","Eukaryota;Animals;Roundworms","NZ_Hco_NP","SAMN10834694","PRJNA517503","GCA_007637855.2"," Chromosome",465.721,42.5079,"chromosome 1:CP035805.1; chromosome 2:CP035801.1; chromosome 3:CP035802.1; chromosome 4:CP035804.1; chromosome 5:CP035803.1; chromosome X:CP035800.1; mitochondrion MT:CP035799.1",,7,12,"2019-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/637/855/GCA_007637855.2_ASM763785v2",
"Setaria viridis","Eukaryota;Plants;Land Plants","","SAMN05660902","PRJNA633601","GCA_005286985.1"," Chromosome",395.87,46.1868,"chromosome 1:NC_048263.1/CM016552.1; chromosome 2:NC_048264.1/CM016553.1; chromosome 3:NC_048265.1/CM016554.1; chromosome 4:NC_048266.1/CM016555.1; chromosome 5:NC_048267.1/CM016556.1; chromosome 6:NC_048268.1/CM016557.1; chromosome 7:NC_048269.1/CM016558.1; chromosome 8:NC_048270.1/CM016559.1; chromosome 9:NC_048271.1/CM016560.1; chloroplast Pltd:NC_028075.1/","SNSE01",76,39206,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/286/985/GCA_005286985.1_Setaria_viridis_v2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/286/985/GCF_005286985.1_Setaria_viridis_v2.0"
"Plasmodium relictum","Eukaryota;Protists;Apicomplexans","SGS1","SAMEA2385706","PRJEB9074","GCA_900005765.1"," Chromosome",22.6074,18.4009,"chromosome 1:NC_041679.1/LN835296.1; chromosome 2:NC_041680.1/LN835297.1; chromosome 3:NC_041681.1/LN835298.1; chromosome 4:NC_041682.1/LN835299.1; chromosome 5:NC_041683.1/LN835300.1; chromosome 6:NC_041684.1/LN835301.1; chromosome 7:NC_041685.1/LN835302.1; chromosome 8:NC_041686.1/LN835303.1; chromosome 9:NC_041687.1/LN835304.1; chromosome 10:NC_041688.1/LN835305.1; chromosome 11:NC_041689.1/LN835306.1; chromosome 12:NC_041690.1/LN835307.1; chromosome 13:NC_041691.1/LN835308.1; chromosome 14:NC_041692.1/LN835309.1; mitochondrion MIT:LN835311.1; mitochondrion MT:NC_012426.1/; apicoplast API:NC_031964.1/LN835310.1","CVMU01",514,5136,"2016-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/005/765/GCA_900005765.1_PRELSG","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/005/765/GCF_900005765.1_PRELSG"
"Passer domesticus","Eukaryota;Animals;Birds","8887266","SAMN02929199","PRJNA255814","GCA_001700915.1"," Chromosome",1042.72,41.1833,"chromosome 1:CM004528.1; chromosome 2:CM004529.1; chromosome 3:CM004530.1; chromosome 4:CM004531.1; chromosome 5:CM004532.1; chromosome 6:CM004533.1; chromosome 7:CM004534.1; chromosome 8:CM004535.1; chromosome 9:CM004536.1; chromosome 10:CM004537.1; chromosome 11:CM004538.1; chromosome 12:CM004539.1; chromosome 13:CM004540.1; chromosome 14:CM004541.1; chromosome 15:CM004542.1; chromosome 1A:CM004525.1; chromosome 17:CM004543.1; chromosome 18:CM004544.1; chromosome 19:CM004545.1; chromosome 20:CM004546.1; chromosome 21:CM004547.1; chromosome 22:CM004548.1; chromosome 23:CM004549.1; chromosome 24:CM004550.1; chromosome 25:CM004551.1; chromosome 26:CM004552.1; chromosome 27:CM004553.1; chromosome 28:CM004554.1; chromosome LGE22:CM004526.1; chromosome Z:CM004527.1; mitochondrion MT:CM004555.1","MBAE01",2571,0,"2016-08-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/700/915/GCA_001700915.1_Passer_domesticus-1.0",
